LEGAL_ENTITY_NAME,PREMISES_NAME,DHB,STREET_ADDRESS_OTHER,STREET_ADDRESS,STREET_ADDRESS_SUBURB_RD,STREET_ADDRESS_TOWN_CITY,STREET_ADDRESS_POST_CODE
280 Queen Street (2005) Limited,Unichem Queen Street Pharmacy,Auckland DHB,,280 Queen Street,Auckland Central,Auckland,1010
3 Kings Plaza Pharmacy 2002 Limited,3 Kings Plaza Pharmacy,Auckland DHB,,536 Mount Albert Road,Three Kings,Auckland,1042
3'S Company Limited,Wairoa Pharmacy,Hawkes Bay DHB,,8 Paul Street,,Wairoa,4108
5 X Roads Limited,Five Crossroads Pharmacy,Waikato DHB,,280 Peachgrove Road,Fairfield,Hamilton,3214
A & E Chemist Limited,Avondale Family Chemist,Auckland DHB,,1784 Great North Road,Avondale,Auckland,1026
A & V Harley Limited,Harley's Pharmacy,Nelson Marlborough DHB,,11 Tahunanui Drive,Tahunanui,Nelson,7011
A and B Pharmacy Limited,Mercury Bay Pharmacy,Waikato DHB,,28 Albert Street,Whitianga,Waikato,3510
AARIA Pharmaceuticals Limited,Takapuna Pharmacy,Waitemata DHB,,1/445 Lake Road,Takapuna,Auckland,0622
APS Pharmacy Limited,Andrew Spence Pharmacy,Hawkes Bay DHB,,30 Maadi Road,Onekawa,Napier,4110
APS Pharmacy Limited,Greenmeadows Pharmacy,Hawkes Bay DHB,,34 Gloucester Street,Greenmeadows,Napier,4112
APS Pharmacy Limited,Raureka Pharmacy,Hawkes Bay DHB,,901 Gordon Road,Raureka,Hastings,4120
ARK 2011 Limited,Unichem Sunnynook Pharmacy,Waitemata DHB,Shop 4 - 5 Sunnynook Shopping Centre,120 Sunnynook Road,Sunnynook,Auckland,0620
ARK 2014 Limited,Barry's Medical Centre Pharmacy,Waitemata DHB,,32 Anzac Road,Browns Bay,Auckland,630
AVYRA Pharmaceuticals Limited,St Heliers Pharmacy,Auckland DHB,,12 Polygon Road,St Heliers,Auckland,1071
Aberfeldy Pharmacy Limited,Family Care Pharmacy,Counties Manukau DHB,,17C Aberfeldy Avenue,Highland Park,AUCKLAND,2010
Adamson's Pharmacy Limited,Unichem Adamson's Pharmacy,Bay of Plenty DHB,,52 King Street,,Whakatane,3120
Ahirangi Allied Limited,Medicines to Midnight,Auckland DHB,Shop 3,160 Broadway,Newmarket,Auckland,1023
Ahuriri Pharmacy Limited,Ahuriri Pharmacy,Hawkes Bay DHB,,1/91 Bridge Street,Ahuriri,Napier,4110
Ajent Limited,Ferry Road Pharmacy,Canterbury DHB,,244 Ferry Road,Waltham,Christchurch,8011
Akarana Developments Limited,Gordon's Pharmacy,Tairawhiti DHB,,1 Mangapapa Road,Mangapapa,Gisborne,4010
Al-Ferdous Limited,Te Puna Hauora Pharmacy,Waitemata DHB,,58 Akoranga Drive,Northcote,Auckland,0627
Alba Pharmacies Limited,Unichem Faulkners Pharmacy,Bay of Plenty DHB,,398 Cameron Road,,Tauranga,3110
Alba Pharmacies Limited,Unichem Fifth Avenue Pharmacy,Bay of Plenty DHB,,40 Fifth Avenue,,Tauranga,3110
Albany Pharmacy Limited,Unichem Albany Metro Pharmacy,Waitemata DHB,,139-163 Don McKinnon Drive,Albany,Auckland,0632
Albany Street Pharmacy Limited,Albany Street Pharmacy Limited,Southern DHB,,27 Albany Street,North Dunedin,Dunedin,9016
Albany Village Pharmacy (2018) Limited,Albany Village Pharmacy (2018) Limited,Waitemata DHB,,"Unit 1, 287 Oteha Valley Road",Albany,Auckland,0632
Aldridge Forest Planting Limited,Edgecumbe Pharmacy,Bay of Plenty DHB,"Shop 2, Riverslea Mall",26 College Road,,Edgecumbe,3120
Alexandra Pharmacy (2013) Limited,Unichem Alexandra Medical Pharmacy,Southern DHB,,93 Tarbert Street,,Alexandra,9320
Alexandra Pharmacy (2013) Limited,Unichem Alexandra Pharmacy and Bookshop,Southern DHB,,4 Centennial Avenue,,Alexandra,9320
Alkabban Limited,Unichem Wyndham Street Pharmacy,Auckland DHB,,33 Wyndham Street,Auckland Central,Auckland,1010
Alkaloid Pharm Limited,Waymouth's Pharmacy,Auckland DHB,,237 Manukau Road,Epsom,Auckland,1023
All Seasons Pharmacy Limited,Unichem All Seasons Pharmacy,Waitemata DHB,"Ground Floor, All Seasons Centre",288 Te Atatu Road,Te Atatu South,Auckland,0610
Allen's Village Pharmacy Limited,Allen's Village Pharmacy Limited,Waitemata DHB,Kumeu Village,88 Main Road,,Kumeu,0810
Alquimia Limited,CookStPharmacy,MidCentral DHB,,281 College Street,West End,Palmerston North,4412
Amana Healthcare Limited,Taiwhenua Pharmacy,Hawkes Bay DHB,,821 Orchard Road,Camberley,Hastings,4120
Amberley Pharmacy Practice Limited,Amberley Pharmacy Practice Limited,Canterbury DHB,,127a Carters Road,,Amberley,7410
Antidote (NZ) Limited,Antidote Central,Southern DHB,Ground Floor,245 George Street,Dunedin Central,Dunedin,9016
Antidote (NZ) Limited,Antidote Gardens,Southern DHB,"Shop 2, Gardens Shopping Mall",1 North Road,North East Valley,Dunedin,9010
Antidote (NZ) Limited,Antidote North,Southern DHB,,15 St David Street,Dunedin North,Dunedin,9016
Antidote (NZ) Limited,Antidote Octagon,Southern DHB,,2 George Street,Dunedin Central,Dunedin,9016
Antidote (NZ) Limited,Antidote South,Southern DHB,"Shops 4A and 5, South City Mall",132 Hillside Road,South Dunedin,Dunedin,9012
Antidote (NZ) No.2 Limited,Antidote Macandrew,Southern DHB,,98 Macandrew Road,South Dunedin,Dunedin,9012
Antidote (NZ) No.2 Limited,Antidote Meridian,Southern DHB,"Shop G10A, Meridian Mall",285 George Street,Dunedin Central,Dunedin,9016
Antidote (NZ) No.2 Limited,Antidote Queenstown,Southern DHB,"Shop C05, Queenstown Central",19 Grant Road,Frankton,Queenstown,9300
Apollo Pharmacy (2014) Limited,Unichem Apollo Drive Pharmacy,Waitemata DHB,,119 Apollo Drive,Rosedale,Auckland,0632
Apothecary Investments Limited,Quay Street Pharmacy,Auckland DHB,Shop 1,76 Quay Street,Auckland Central,Auckland,1010
Apothecary Limited,Kerry Nott Pharmacy (2014),Bay of Plenty DHB,,114B Church Street,,Opotiki,3122
Apothecary Limited,Opotiki Pharmacy 2013,Bay of Plenty DHB,,110 Church Street,,Opotiki,3122
Araba Pharmacy Limited,Mountainview Pharmacy,Taranaki DHB,,65 Victoria Street,,Hawera,4610
Araba Pharmacy Limited,Opunake Pharmacy,Taranaki DHB,,26 Napier Street,,Opunake,4616
Araba Pharmacy Limited,Pharmacy @ Care First,Taranaki DHB,,99 Tukapa Street,Westown,New Plymouth,4310
Araba Pharmacy Patea Limited,Patea Pharmacy,Taranaki DHB,,71 Egmont Street,,PATEA,4520
Aranui Pharmacy (2006) Limited,"Eastern Pharmacy, Aranui",Canterbury DHB,,338 Pages Road,Aranui,Christchurch,8061
Ascot Pharmacy (2006) Limited,Ascot Pharmacy,Auckland DHB,,90 Green Lane East,Remuera,Auckland,1051
Ascot Pharmacy Invercargill Limited,Unichem Ascot Pharmacy,Southern DHB,,706 Tay Street,Hawthorndale,Invercargill,9810
Ashburton Pharmacy (1978) Limited,Life Pharmacy Ashburton,Canterbury DHB,,262 East Street,,Ashburton,7700
Ashbury Pharmacy 2015 Limited,Ashbury Pharmacy,South Canterbury DHB,"Shop 14, Northtown Mall",98 Evans Street,Waimataitai,Timaru,7910
Ashleigh Court Pharmacy Limited,Ashleigh Court Pharmacy,Capital and Coast DHB,,100 Riddiford Street,Newtown,Wellington,6021
Auckland District Health Board,Auckland Hospital Pharmacy,Auckland DHB,"Pharmacy Department, Level 6, Support Building, Auckland City Hospital",2 Park Road,Grafton,Auckland,1023
Auckland District Health Board,Greenlane Clinical Centre Pharmacy,Auckland DHB,"Room G4-302, Ground floor, Building 4, Greenlane Clinical Centre",214 Green Lane West,Epsom,Auckland,1051
Avalon Medical Centre Pharmacy Limited,Avalon Medical Centre Pharmacy Limited,Hutt Valley DHB,,838 High Street,Boulcott,Lower Hutt,5011
Avondale Community Pharmacy Limited,Thornton's Pharmacy,Auckland DHB,,1895 Great North Road,Avondale,Auckland,1026
Avonhead Pharmacy (2001) Limited,Avonhead Pharmacy (2001) Limited,Canterbury DHB,"Shop 22, Avonhead Shopping Centre",210 Withells Road,Avonhead,Christchurch,8042
Azman Rashid Haroon,Chemist Warehouse Albany,Waitemata DHB,"Tenancy T10A, Albany Mega Centre",140 Don McKinnon Drive,Albany,Auckland,0632
Azman Rashid Haroon,Chemist Warehouse Botany,Counties Manukau DHB,,3/500 Ti Rakau Drive,Northpark,Auckland,2013
Azman Rashid Haroon,Chemist Warehouse St Lukes,Auckland DHB,"Shop A9, St Lukes Mega Centre",1 Wagener Place,Mount Albert,Auckland,1025
Azman Rashid Haroon,Chemist Warehouse Westfield Manukau,Counties Manukau DHB,"Shop S196, Westfield Shopping Centre",5 Putney Way,Manukau,Auckland,2104
Azman Rashid Haroon,Chemist Warehouse Westgate,Waitemata DHB,Tenancy H3,32 Maki Street,Westgate,Auckland,0814
B T Roberts Limited,Roberts Pharmacy,South Canterbury DHB,Unit 1,45 Heaton Street,Parkside,Timaru,7910
B and C Pharmacy Limited,Unichem Lynnmall,Waitemata DHB,"Shop W.516, Lynnmall Shopping Centre",3058 Great North Road,New Lynn,Auckland,0600
B&N14 Limited,Anderson's Exchange Pharmacy,Southern DHB,Ground Floor,8 Broadway,Dunedin Central,DUNEDIN,9016
Babington's Pharmacy Limited,Unichem North End Pharmacy,Southern DHB,,411B Thames Highway,Oamaru North,Oamaru,9400
Baillie & Lewis 2002 Limited,Baillie and Lewis Pharmacy,Southern DHB,,3 - 7A Martin Street,Strathern,Invercargill,9812
Bakerfield Chemist 2000 Limited,Bakerfield Chemist 2000 Limited,Counties Manukau DHB,,16A Bakerfield Place,Manukau,Auckland,2104
Balmac Pharmacy 2011 Limited,Balmac Pharmacy 2011 Limited,Southern DHB,,128 Helensburgh Road,Wakari,Dunedin,9010
Bargain Chemist Limited,Bargain Chemist Limited,Canterbury DHB,,117a Riccarton Road,Upper Riccarton,Christchurch,8041
Bargain Chemist Northwood Limited,Bargain Chemist Northwood,Canterbury DHB,"Unit I, Supa Centa",1 Radcliffe Road,Belfast,Christchurch,8051
Bargain Chemist Wgt Limited,Bargain Chemist Wellington,Capital and Coast DHB,,73 Manners Street,Te Aro,Wellington,6011
Barnett's Wairakei Road Pharmacy Limited,Barnett's Wairakei Road Pharmacy,Canterbury DHB,,"Unit 4, 501 Wairakei Road",Burnside,Christchurch,8053
Barnett's West End Pharmacy Limited,Barnett's West End Pharmacy,Canterbury DHB,Unit B,93 Cambridge Terrace,Christchurch Central,Christchurch,8013
Barrington Health Centre Pharmacy Limited,Wilsons Health Pharmacy,Canterbury DHB,,16 Athelstan Street,Spreydon,Christchurch,8024
Barrington Pharmacy Limited,Wilsons Barrington Pharmacy,Canterbury DHB,,256 Barrington Street,Spreydon,CHRISTCHURCH,8024
Bay Health Pharmacy Limited,Bay Health Pharmacy Limited,Bay of Plenty DHB,Tauranga Hospital,829 Cameron Road,Tauranga South,Tauranga,3112
Bay Of Plenty Pharmacy Services Limited,Bethlehem Pharmacy,Bay of Plenty DHB,,229D State Highway 2,Bethlehem,TAURANGA,3110
Bay Of Plenty Pharmacy Services Limited,Kawerau Pharmacy,Bay of Plenty DHB,"Unit B, 2 Tarawera Court",Islington Street,,Kawerau,3127
Bay Of Plenty Pharmacy Services Limited,Smart Chemist Bethlehem,Bay of Plenty DHB,,16 Bethlehem Road,Bethlehem,TAURANGA,3110
Bay Pharmacies 2015 Limited,Unichem Chadwick Pharmacy,Bay of Plenty DHB,,120 Chadwick Road,Greerton,Tauranga,3112
